name,platform,year_of_release,genre,publisher,developer,na_sales,eu_sales,jp_sales,critic_score,user_score
Yu-Gi-Oh! Reshef of Destruction,GBA,2003.0,Strategy,Konami Digital Entertainment,NaN,0.4,0.15,0,NaN,NaN
Blinx: The Time Sweeper,XB,2002.0,Platform,Microsoft Game Studios,Artoon,0.39,0.15,0,71.0,8
ESPN NFL Football,PS2,2003.0,Sports,Sega,Visual Concepts,0.27,0.21,0,91.0,8.5
Fatal Fury Special,SNES,1994.0,Fighting,Takara,NaN,0,0,0.56,NaN,NaN
Major League Baseball 2K5,XB,2005.0,Sports,Take-Two Interactive,Kush Games,0.52,0.02,0,81.0,8.2
Tetris Party Deluxe,Wii,2010.0,Puzzle,Nintendo,"Tetris Online, Inc",0.33,0.16,0.02,72.0,5.8
DS Bimoji Training,DS,2008.0,Misc,Nintendo,NaN,0,0,0.56,NaN,NaN
Gravity Rush,PSV,2012.0,Action,Sony Computer Entertainment,SCE Japan Studio,0.21,0.17,0.09,83.0,8.5
Quantum Break,XOne,2016.0,Action,Microsoft Game Studios,Remedy Entertainment,0.3,0.2,0.01,77.0,6.8
Archer Maclean's Mercury,PSP,2005.0,Puzzle,Ignition Entertainment,Awesome Studios,0.17,0.24,0,75.0,6.6
TMNT,X360,2007.0,Action,Ubisoft,Ubisoft Montreal,0.48,0.03,0,58.0,6.3
Middle-Earth: Shadow of Mordor,PS3,2014.0,Action,Warner Bros. Interactive Entertainment,Behaviour Interactive,0.2,0.26,0.01,NaN,3.4
Soldier of Fortune: Gold Edition,PS2,2001.0,Shooter,Codemasters,Pipe Dream Interactive,0.27,0.21,0,59.0,6.8
FIFA 15,Wii,2014.0,Sports,Electronic Arts,EA Sports,0.15,0.37,0,NaN,4.3
Final Fantasy IV: The Complete Collection,PSP,2011.0,Role-Playing,Square Enix,Bullets,0.13,0.09,0.27,77.0,7.5
Frontlines: Fuel of War,X360,2008.0,Shooter,THQ,Kaos Studios,0.34,0.15,0.01,75.0,7.8
MX 2002 Featuring Ricky Carmichael,PS2,2001.0,Racing,THQ,Pacific Coast Power & Light,0.27,0.21,0,76.0,8.3
NCAA Football 07,XB,2006.0,Sports,Electronic Arts,EA Sports,0.42,0.12,0,88.0,6.9
Lunar: Silver Star Story Complete,PS,1998.0,Role-Playing,Kadokawa Shoten,Game Arts,0.27,0.18,0.06,78.0,9.1
Harvest Moon: The Tale of Two Towns,DS,2010.0,Simulation,Natsume,Marvelous Entertainment,0.25,0.05,0.22,68.0,7.5
No More Heroes,Wii,2007.0,Action,Rising Star Games,Grasshopper Manufacture,0.29,0.17,0.04,83.0,8.4
NBA Showtime: NBA on NBC,PS,1999.0,Sports,Midway Games,NaN,0.31,0.21,0,NaN,NaN
God of War: Origins Collection,PS3,2011.0,Action,Sony Computer Entertainment,Ready at Dawn,0.39,0.08,0.02,84.0,8.4
Dora The Explorer: Dora Saves the Snow Princess,Wii,2008.0,Platform,Take-Two Interactive,High Voltage Software,0.49,0.02,0,47.0,7
Soul Reaver 2,PS2,2001.0,Action,Eidos Interactive,Crystal Dynamics,0.27,0.21,0,80.0,8.5
Metal Gear Solid 3: Subsistence,PS2,2005.0,Action,Konami Digital Entertainment,Aspect,0.34,0.01,0.15,94.0,9.3
The Godfather (old US sales),XB,2006.0,Action,Electronic Arts,NaN,0.42,0.11,0,NaN,NaN
Enslaved: Odyssey to the West,PS3,2010.0,Action,Namco Bandai Games,Ninja Theory,0.24,0.22,0.01,80.0,7.4
Daytona USA,SAT,1994.0,Racing,Sega,NaN,0,0,0.55,NaN,NaN
WWF Raw,XB,2002.0,Fighting,THQ,Anchor,0.4,0.13,0,68.0,6.6
Shin Super Robot Taisen,PS,1996.0,Role-Playing,Banpresto,NaN,0,0,0.52,NaN,NaN
Jump Super Stars,DS,2005.0,Fighting,Nintendo,NaN,0,0,0.55,NaN,NaN
Guitar Hero Live,XOne,2015.0,Misc,Activision,FreeStyleGames,0.3,0.2,0,81.0,5.1
The Activision Decathlon,2600,1982.0,Sports,Activision,NaN,0.52,0.03,0,NaN,NaN
Simple 1500 Series Vol. 73: The Invaders ~Spac...,PS,2001.0,Shooter,D3Publisher,NaN,0.31,0.21,0,NaN,NaN
Fighting Force 2,PS,1999.0,Action,Eidos Interactive,NaN,0.31,0.21,0,NaN,NaN
Sakura Wars,SAT,1996.0,Adventure,Sega,NaN,0,0,0.55,NaN,NaN
Catz,DS,2006.0,Simulation,Ubisoft,Powerhead Games,0.49,0.02,0,NaN,5.3
Extermination,PS2,2001.0,Action,Sony Computer Entertainment,Deep Space,0.21,0.16,0.12,67.0,7.8
Batman: Vengeance,PS2,2001.0,Adventure,Ubisoft,Ubisoft,0.27,0.21,0,68.0,6.7
Ratchet & Clank: Quest for Booty,PS3,2008.0,Platform,Sony Computer Entertainment,NaN,0,0.52,0,NaN,NaN
Derby Stallion 04,PS2,2004.0,Sports,Enterbrain,NaN,0,0,0.55,NaN,NaN
Rapala Tournament Fishing!,Wii,2006.0,Sports,Activision,NaN,0.51,0,0,NaN,NaN
Hot Shots Golf: World Invitational,PSV,2011.0,Sports,Sony Computer Entertainment,Clap Hanz,0.15,0.11,0.25,76.0,8.1
Tony Hawk's Pro Skater 3,XB,2002.0,Sports,Activision,Neversoft Entertainment,0.34,0.18,0,93.0,8.4
Mega Man Zero,GBA,2002.0,Platform,Capcom,Inti,0.22,0.08,0.24,82.0,8.9
Contender 2,PS,2000.0,Fighting,3DO,Bam Entertainment,0.31,0.21,0,NaN,#VALUE!
Resident Evil: Revelations 2,PS4,2015.0,Action,Capcom,Capcom,0.13,0.24,0.1,75.0,7.7
Star Wars: Dark Forces,PS,1996.0,Shooter,LucasArts,NaN,0.31,0.21,0,NaN,NaN
LEGO Dimensions,PS3,2015.0,Action,Warner Bros. Interactive Entertainment,NaN,0.17,0.3,0,NaN,6.4
NBA 2K8,PS3,2007.0,Sports,Take-Two Interactive,Visual Concepts,0.5,0.01,0,81.0,6.8
Rayman Origins,Wii,2011.0,Platform,Ubisoft,UBlart Montpellier,0.21,0.27,0,92.0,8.3
The Amazing Spider-Man 2 (2014),PS4,2014.0,Action,Activision,NaN,0.2,0.25,0.02,NaN,NaN
SD Gundam G Generation Zero,PS,1999.0,Strategy,Namco Bandai Games,NaN,0,0,0.51,NaN,NaN
Assassin's Creed: Unity,PC,2014.0,Action,Ubisoft,"Ubisoft, Ubisoft Montreal",0.18,0.33,0,70.0,3
MX vs. ATV: Alive,X360,2011.0,Racing,THQ,THQ Digital Studio Phoenix,0.37,0.13,0,63.0,7.2
Super Robot Taisen F,SAT,1997.0,Strategy,Banpresto,NaN,0,0,0.55,NaN,NaN
Shrek 2,XB,2004.0,Platform,Activision,"Luxoflux, Inc.",0.4,0.13,0,72.0,8.4
Purr Pals,DS,2007.0,Simulation,THQ,Brain Toys,0.18,0.35,0,67.0,6.8
Assassin's Creed II,PC,2010.0,Action,Ubisoft,Ubisoft Montreal,0.01,0.45,0,86.0,6.9
Soccer Tsuku 2002: J-League Pro Soccer Club o ...,PS2,2002.0,Sports,Sega,NaN,0,0,0.55,NaN,NaN
Secret Agent Clank(US sales),PSP,2008.0,Platform,Sony Computer Entertainment,NaN,0.33,0.22,0,NaN,NaN
SpongeBob SquarePants: SuperSponge,GBA,2001.0,Action,THQ,NaN,0.39,0.15,0,NaN,NaN
Super Robot Taisen F Kanketsuhen,SAT,1998.0,Strategy,Banpresto,NaN,0,0,0.55,NaN,NaN
Tak and the Power of Juju,GBA,2003.0,Platform,THQ,Avalanche Software,0.39,0.15,0,79.0,9.2
Madagascar: Escape 2 Africa,Wii,2008.0,Action,Activision,NaN,0.31,0.18,0,NaN,NaN
Lips: Number One Hits,X360,2009.0,Misc,Microsoft Game Studios,iNiS,0.15,0.34,0,70.0,7.6
Mortal Kombat 3,PS,1995.0,Fighting,Sony Computer Entertainment,NaN,0.29,0.2,0.02,NaN,NaN
Star Wars Battlefront (2015),PC,2015.0,Shooter,Electronic Arts,NaN,0.13,0.38,0,NaN,NaN
Turok: Evolution,XB,2002.0,Shooter,Acclaim Entertainment,Acclaim,0.39,0.14,0,68.0,6.7
Grease,Wii,2010.0,Misc,505 Games,NaN,0.26,0.24,0,NaN,NaN
Jak X: Combat Racing,PS2,2005.0,Racing,Sony Computer Entertainment,Naughty Dog,0.45,0.02,0,76.0,7.7
Donkey Kong Jungle Climber,DS,2007.0,Platform,Nintendo,NaN,0.25,0.03,0.24,NaN,NaN
American Idol,PS2,2003.0,Misc,Codemasters,Hothouse Creations,0.27,0.21,0,41.0,4.8
Top Gun: Fire at Will!,PS,1996.0,Misc,Microprose,NaN,0.3,0.21,0,NaN,NaN
Barbie Horse Adventures: Riding Camp,DS,2008.0,Sports,Activision,Activision,0.5,0,0,NaN,#VALUE!
Red Dead Revolver,XB,2004.0,Shooter,Take-Two Interactive,Rockstar San Diego,0.4,0.12,0,74.0,8.5
CrossworDS,DS,2008.0,Puzzle,Deep Silver,Nuevo Retro Games,0.5,0,0,67.0,6.8
Viva Pinata: Pocket Paradise,DS,2008.0,Simulation,THQ,Rare Ltd.,0.26,0.23,0,82.0,7.1
Petz Catz Clan,DS,2008.0,Simulation,Ubisoft,Digital Kids,0.47,0.03,0,NaN,#VALUE!
ZhuZhu Pets 2: Featuring The Wild Bunch,DS,2010.0,Simulation,Activision,Activision,0.4,0.1,0,NaN,#VALUE!
Sly Cooper: Thieves in Time,PS3,2013.0,Platform,Sony Computer Entertainment Europe,Sanzaru Games,0.35,0.12,0,75.0,8.3
Iron Man,PS2,2008.0,Action,Sega,Artificial Mind and Movement,0.36,0,0,47.0,5.6
SingStar Summer Party,PS2,2008.0,Misc,Sony Computer Entertainment,NaN,0,0.06,0,NaN,NaN
Spec Ops: The Line,PS3,2012.0,Shooter,Take-Two Interactive,Yager,0.19,0.23,0.04,77.0,8
The SpongeBob SquarePants Movie,XB,2004.0,Platform,THQ,Heavy Iron Studios,0.4,0.12,0,74.0,8.5
NHL 14,PS3,2013.0,Sports,Electronic Arts,Electronic Arts,0.28,0.17,0,80.0,6
F1 2013,PS3,2013.0,Racing,Codemasters,Codemasters Birmingham,0.01,0.42,0.03,77.0,6.3
FIFA Soccer 07,XB,2006.0,Sports,Electronic Arts,NaN,0.16,0.35,0,NaN,NaN
Gekikuukan Pro Yakyuu: At the End of the Centu...,PS2,2000.0,Sports,SquareSoft,NaN,0,0,0.54,NaN,NaN
Legends of WrestleMania,PS3,2009.0,Fighting,THQ,Yuke's,0.3,0.16,0,70.0,6.5
Are You Smarter than a 5th Grader? Make the Grade,Wii,2008.0,Misc,THQ,THQ,0.5,0,0,NaN,#VALUE!
Tiger Woods PGA Tour 08,X360,2007.0,Sports,Electronic Arts,EA Salt Lake,0.49,0.02,0,80.0,7.8
Medarot 2: Kabuto / Kuwagata Version,GB,1999.0,Role-Playing,Imagineer,NaN,0,0,0.54,NaN,NaN
Dance Dance Revolution Ultramix,XB,2003.0,Simulation,Konami Digital Entertainment,Konami Computer Entertainment Hawaii,0.42,0.11,0,82.0,8.8
Crash Tag Team Racing,PS2,2005.0,Racing,Vivendi Games,Radical Entertainment,0.27,0.21,0,66.0,7
Front Mission 4,PS2,2003.0,Strategy,Square Enix,Square Enix,0.14,0.11,0.25,75.0,8.6
The Fairly Odd Parents: Breakin' Da Rules,GBA,2003.0,Platform,THQ,NaN,0.39,0.14,0,NaN,NaN
Rayman Origins,PSV,2012.0,Platform,Ubisoft,UBlart Montpellier,0.12,0.33,0,88.0,8.4
Ninokuni: Shikkoku no Madoushi,DS,2010.0,Role-Playing,Level 5,NaN,0,0,0.54,NaN,NaN
F.E.A.R.,PS3,2007.0,Shooter,Vivendi Games,Day 1 Studios,0.18,0.26,0,72.0,7.4
Enslaved: Odyssey to the West,X360,2010.0,Action,Namco Bandai Games,Ninja Theory,0.3,0.19,0,82.0,7.8
SRS: Street Racing Syndicate,PS2,2004.0,Racing,Namco Bandai Games,NaN,0.26,0.21,0,NaN,NaN
Dragon Ball Z: Shin Budokai,PSP,2006.0,Fighting,Atari,Dimps Corporation,0.26,0.08,0.13,70.0,8.1
Tiger Woods PGA Tour 13,PS3,2012.0,Sports,Electronic Arts,Electronic Arts,0.24,0.21,0,75.0,5.7
Dynasty Warriors: Gundam 3,PS3,2010.0,Action,Tecmo Koei,"Omega Force, Koei Tecmo Games",0.11,0.04,0.36,58.0,7.5
Def Jam: Fight for NY,XB,NaN,Fighting,Electronic Arts,Aki Corp.,0.43,0.1,0,84.0,8.5
Action Force,2600,1982.0,Action,CPG Products,NaN,0.5,0.03,0,NaN,NaN
FIFA 99,N64,1998.0,Sports,Electronic Arts,NaN,0.11,0.39,0,NaN,NaN
Gauntlet Legends,N64,1999.0,Action,Midway Games,NaN,0.43,0.1,0,NaN,NaN
Kidou Senshi Gundam: Extreme VS,PS3,2011.0,Fighting,Namco Bandai Games,NaN,0,0,0.54,NaN,NaN
System 3 presents Ferrari Challenge Trofeo Pir...,Wii,2008.0,Racing,System 3 Arcade Software,NaN,0.07,0.4,0,NaN,NaN
Tony Hawk: Shred,Wii,2010.0,Sports,Activision,Robomodo,0.39,0.11,0,NaN,7
Tiger Woods PGA Tour 11,Wii,2010.0,Sports,Electronic Arts,EA Sports,0.23,0.25,0,84.0,8.3
NBA Live 10,PS3,2009.0,Sports,Electronic Arts,EA Canada,0.46,0.02,0.01,81.0,7.5
Metro 2033,X360,2010.0,Shooter,THQ,4A Games,0.22,0.23,0.03,77.0,7.9
Bust A Groove,PS,1998.0,Misc,Sony Computer Entertainment,NaN,0.09,0.06,0.35,NaN,NaN
Fire Emblem: Path of Radiance,GC,2005.0,Action,Nintendo,Intelligent Systems,0.29,0.08,0.16,85.0,8.9
Dragon Quest Characters: Torneko no Daibouken ...,PS2,2002.0,Role-Playing,Enix Corporation,NaN,0,0,0.54,NaN,NaN
Hotel Dusk: Room 215,DS,2007.0,Adventure,Nintendo,Cing,0.26,0.04,0.22,78.0,8.6
Final Fantasy Explorers,3DS,2014.0,Role-Playing,Square Enix,Racjin,0.16,0.07,0.28,69.0,7
Pachi-Slot Aruze Oukoku 2,PS,1999.0,Misc,Aruze Corp,NaN,0,0,0.5,NaN,NaN
Bratz: Rock Angelz,GBA,2004.0,Misc,THQ,Altron,0.39,0.14,0,NaN,NaN
SSX Tricky,GC,2001.0,Sports,Electronic Arts,EA Sports Big,0.42,0.11,0,87.0,8.6
Greg Hastings' Tournament Paintball,XB,2004.0,Shooter,Activision,WXP,0.46,0.06,0,74.0,9.2
World Soccer Winning Eleven 7 International (J...,PS2,2004.0,Sports,Konami Digital Entertainment,NaN,0,0,0.54,NaN,NaN
ESPN NBA Basketball,PS2,2003.0,Sports,Sega,Visual Concepts,0.26,0.21,0,89.0,8.4
Dragon Ball Z: Ultimate Tenkaichi,X360,2011.0,Fighting,Namco Bandai Games,Spike,0.39,0.1,0.01,55.0,5.8
Sacred 2: Fallen Angel,X360,2009.0,Role-Playing,Deep Silver,"Ascaron Entertainment GmbH, Ascaron Entertainment",0.29,0.16,0.04,71.0,7.3
Two Worlds II,X360,2011.0,Role-Playing,Unknown,Reality Pump,0.4,0.07,0.03,67.0,6.6
Over the Hedge,PS2,2006.0,Platform,Activision,Edge of Reality,0.45,0.02,0,58.0,8.6
Mat Hoffman's Pro BMX,PS,2001.0,Sports,Activision,Shaba Games,0.3,0.2,0,80.0,8.6
Phineas and Ferb: Across the 2nd Dimension,DS,2011.0,Action,Disney Interactive Studios,Altron,0.31,0.18,0,47.0,#VALUE!
50 Classic Games,DS,2009.0,Misc,Destineer,Cerasus Media,0.5,0,0,NaN,#VALUE!
Let's Draw!,DS,2008.0,Misc,Ubisoft,NaN,0.24,0.23,0,NaN,NaN
NHL 14,X360,2013.0,Sports,Electronic Arts,Electronic Arts,0.4,0.09,0,81.0,5.9
Popeye,2600,1982.0,Platform,Parker Bros.,NaN,0.5,0.03,0,NaN,NaN
Petz Nursery,DS,2009.0,Simulation,Ubisoft,Digital Kids,0.5,0,0,NaN,#VALUE!
The Hobbit,PS2,2003.0,Platform,Vivendi Games,Inevitable Entertainment,0.26,0.2,0,59.0,8.6
War of the Monsters,PS2,2003.0,Fighting,Sony Computer Entertainment,Incognito Inc.,0.26,0.2,0,80.0,8.9
Harry Potter and the Deathly Hallows - Part 1,Wii,2010.0,Action,Electronic Arts,Electronic Arts,0.22,0.27,0,41.0,5
NBA Street Vol. 2,GC,NaN,Sports,Electronic Arts,Electronic Arts,0.41,0.11,0,88.0,8.1
The Incredible Hulk: Ultimate Destruction,PS2,2005.0,Action,Vivendi Games,Radical Entertainment,0.26,0.2,0,83.0,8.7
Time Crisis: Razing Storm,PS3,2010.0,Shooter,Namco Bandai Games,Nex Entertainment,0.18,0.2,0.07,58.0,5.9
Summer Sports: Paradise Island,Wii,2008.0,Sports,Ubisoft,Destineer,0.48,0.01,0,46.0,4.6
"Sakura Taisen 2 - Kimi, Shinitamou Koto Nakare",SAT,1998.0,Adventure,Sega,NaN,0,0,0.53,NaN,NaN
Time Crisis II,PS2,2001.0,Shooter,Namco Bandai Games,Namco,0.26,0.2,0,81.0,7.9
Inazuma Eleven GO,3DS,2011.0,Role-Playing,Nintendo,NaN,0,0.05,0.48,NaN,NaN
Clock Tower,PS,1996.0,Adventure,ASCII Entertainment,NaN,0.07,0.05,0.38,NaN,NaN
NCAA March Madness 06,PS2,2005.0,Sports,Electronic Arts,EA Canada,0.45,0.02,0,78.0,9.1
LEGO Dimensions,WiiU,2015.0,Action,Warner Bros. Interactive Entertainment,Traveller's Tales,0.3,0.18,0,62.0,6.5
Valkyria Chronicles II,PSP,2010.0,Role-Playing,Sega,Sega,0.12,0.15,0.18,83.0,8.1
Jampack Volume 11,PS2,2004.0,Misc,Sony Computer Entertainment,NaN,0.26,0.2,0,NaN,NaN
Monster High: Ghoul Spirit,Wii,2011.0,Misc,THQ,THQ,0.42,0.07,0,NaN,#VALUE!
Tatsunoko vs. Capcom: Ultimate All-Stars,Wii,2010.0,Fighting,Capcom,Eighting,0.3,0.15,0.03,85.0,8.8
Rune Factory: A Fantasy Harvest Moon,DS,2006.0,Role-Playing,Rising Star Games,Neverland,0.35,0.01,0.14,78.0,8.1
Legacy of Kain: Defiance,PS2,2003.0,Action,Eidos Interactive,Crystal Dynamics,0.26,0.2,0,75.0,9.3
SpongeBob SquarePants: Game Boy Advance Video ...,GBA,2004.0,Misc,NaN,NaN,0.38,0.14,0,NaN,NaN
NCAA March Madness 2005,PS2,2004.0,Sports,Electronic Arts,EA Canada,0.44,0.02,0,78.0,8.3
007 Racing,PS,2000.0,Racing,Electronic Arts,Eutechnyx,0.3,0.2,0,51.0,4.6
Tactics Ogre: Let Us Cling Together,PSP,2010.0,Role-Playing,Square Enix,Square Enix,0.15,0.07,0.27,87.0,8.8
Conflict: Vietnam,PS2,2004.0,Shooter,SCi,Pivotal Games,0.26,0.2,0,58.0,8.1
Dragon's Crown,PS3,2013.0,Role-Playing,Nippon Ichi Software,Vanillaware,0.25,0.07,0.17,82.0,8.3
2 in 1 Combo Pack: Sonic Heroes / Super Monkey...,XB,2004.0,Misc,Sega,NaN,0.4,0.11,0,NaN,NaN
MLB SlugFest 20-04,PS2,2003.0,Sports,Midway Games,Midway,0.26,0.2,0,78.0,8.3
Gex 3: Deep Cover Gecko,PS,1999.0,Platform,Eidos Interactive,NaN,0.3,0.2,0,NaN,NaN
NASCAR 09,PS2,2008.0,Racing,Electronic Arts,EA Tiburon,0.26,0.2,0,NaN,7.9
Blitz: The League,XB,2004.0,Sports,Midway Games,Midway,0.4,0.11,0,78.0,7.7
Manhunt 2,Wii,2007.0,Action,Take-Two Interactive,Rockstar Toronto,0.25,0.23,0,62.0,7.1
Just Dance 2015,XOne,2014.0,Misc,Ubisoft,Ubisoft,0.35,0.13,0,70.0,7.5
Jampack Vol. 2,PS,1996.0,Misc,Sony Computer Entertainment,NaN,0.3,0.2,0,NaN,NaN
The LEGO Movie Videogame,XOne,2014.0,Action,Warner Bros. Interactive Entertainment,TT Games,0.35,0.13,0,69.0,6.9
Virtual Soccer,SNES,1993.0,Sports,Hudson Soft,NaN,0,0,0.53,NaN,NaN
Overwatch,PC,2016.0,Shooter,Activision,Blizzard Entertainment,0.25,0.24,0,91.0,6.8
Romance of the Three Kingdoms IV: Wall of Fire,SNES,1994.0,Strategy,Tecmo Koei,NaN,0,0,0.53,NaN,NaN
Monster Jam: Path of Destruction,Wii,2010.0,Racing,Activision,Virtuos,0.48,0.02,0,NaN,#VALUE!
Winning Post,SNES,1993.0,Sports,Tecmo Koei,NaN,0,0,0.53,NaN,NaN
Peter Jackson's King Kong: The Official Game o...,XB,2005.0,Action,Ubisoft,Ubisoft Montpellier,0.34,0.17,0,82.0,8.5
Burnout Revenge,XB,2005.0,Racing,Electronic Arts,Criterion Games,0.32,0.19,0,89.0,8.4
Medal of Honor: European Assault,XB,2005.0,Shooter,Electronic Arts,EA LA,0.32,0.19,0,72.0,7
Ty the Tasmanian Tiger 2: Bush Rescue,PS2,2004.0,Platform,Electronic Arts,Krome Studios,0.26,0.2,0,71.0,8.2
The Lord of the Rings: The Fellowship of the Ring,XB,2002.0,Action,Universal Interactive,WXP,0.31,0.19,0,59.0,6.6
NBA 06,PS2,2005.0,Sports,Sony Computer Entertainment,SCEA Sports Studio,0.26,0.2,0,63.0,6.3
Inazuma Eleven,DS,2008.0,Role-Playing,Nintendo,NaN,0,0.13,0.38,NaN,NaN
Excite Truck,Wii,2006.0,Racing,Nintendo,Monster Games Inc.,0.39,0.03,0.08,72.0,8.4
Phoenix Wright: Ace Attorney - Justice for All,DS,2006.0,Adventure,Capcom,NaN,0.21,0.04,0.26,NaN,NaN
Spider-Man,N64,2000.0,Action,Activision,NaN,0.43,0.09,0,NaN,NaN
Magician's Quest: Mysterious Times,DS,2008.0,Role-Playing,Konami Digital Entertainment,Konami,0.04,0.01,0.48,69.0,7.6
Hello Kitty: Big City Dreams,DS,2008.0,Puzzle,Empire Interactive,Human Soft,0.42,0.07,0,NaN,#VALUE!
X-Men Legends,GC,2004.0,Role-Playing,Activision,Raven Software,0.41,0.11,0,81.0,8.5
Mario & Sonic at the Rio 2016 Olympic Games,3DS,2016.0,Action,Nintendo,NaN,0.05,0.21,0.25,NaN,NaN
G-Force,DS,2009.0,Action,Disney Interactive Studios,Keen Games,0.26,0.21,0,NaN,9
Front Mission 2,PS,1997.0,Strategy,SquareSoft,NaN,0,0,0.49,NaN,NaN
StarCraft II: Legacy of the Void,PC,2015.0,Strategy,Activision,Blizzard Entertainment,0.19,0.29,0,88.0,8.3
Jewel Master Egypt,DS,2009.0,Puzzle,Rondomedia,Storm City Games,0.21,0.27,0,56.0,#VALUE!
ModNation Racers,PSP,2010.0,Racing,Sony Computer Entertainment,SCEA San Diego Studios,0.11,0.26,0.02,73.0,7.7
LEGO Dimensions,X360,2015.0,Action,Warner Bros. Interactive Entertainment,NaN,0.26,0.23,0,NaN,6.1
WWE SmackDown vs. Raw 2010,DS,2009.0,Fighting,THQ,Yuke's,0.35,0.13,0,75.0,8.3
Are You Smarter Than A 5th Grader?,DS,2007.0,Misc,Mindscape,ValuSoft,0.48,0,0,NaN,#VALUE!
Oni,PS2,2001.0,Action,Take-Two Interactive,Rockstar Toronto,0.26,0.2,0,69.0,7.8
Tom Clancy's Ghost Recon Advanced Warfighter 2,PSP,2007.0,Shooter,Ubisoft,"High Voltage Software, Ubisoft Paris",0.35,0.09,0,61.0,6.4
SpongeBob SquarePants featuring Nicktoons: Glo...,Wii,2008.0,Action,THQ,Incinerator Games,0.49,0,0,47.0,5.4
Terminator Salvation,PS3,2009.0,Shooter,Warner Bros. Interactive Entertainment,GRIN,0.13,0.28,0.01,43.0,3.9
How to Train Your Dragon,DS,2010.0,Action,Activision,Griptonite Games,0.31,0.17,0,60.0,#VALUE!
The Lord of the Rings: The Two Towers,GC,2002.0,Action,Electronic Arts,Stormfront Studios,0.41,0.11,0,82.0,8.7
Batman: Arkham City,PC,2011.0,Action,Warner Bros. Interactive Entertainment,Rocksteady Studios,0.16,0.28,0,91.0,8.6
Juiced,PS2,2005.0,Racing,THQ,Juice Games,0.26,0.2,0,68.0,7.7
The Warriors,PS2,2005.0,Action,Take-Two Interactive,Rockstar Toronto,0.44,0.02,0,84.0,8.5
J-League Soccer: Prime Goal 2,SNES,1994.0,Sports,Namco Bandai Games,NaN,0,0,0.53,NaN,NaN
Star Fox Command,DS,2006.0,Shooter,Nintendo,Q-Games,0.38,0.01,0.1,76.0,7.3
Dragon Age: Inquisition,X360,2014.0,Role-Playing,Electronic Arts,BioWare,0.36,0.12,0,NaN,5.1
Wayne Gretzky's 3D Hockey,N64,1996.0,Sports,Nintendo,NaN,0.49,0.03,0,NaN,NaN
NASCAR 2000,N64,1999.0,Racing,Electronic Arts,NaN,0.49,0.03,0,NaN,NaN
Pachi-Slot Aruze Oukoku 4,PS,2000.0,Misc,Aruze Corp,NaN,0,0,0.49,NaN,NaN
Bulletstorm,PS3,2011.0,Shooter,Electronic Arts,"Epic Games, People Can Fly",0.23,0.2,0.01,83.0,7.7
Return to Castle Wolfenstein: Operation Resurr...,PS2,2003.0,Shooter,Activision,Raster,0.26,0.2,0,66.0,8
Mario Tennis: Power Tour,GBA,2005.0,Sports,Nintendo,Camelot Software Planning,0.24,0.09,0.19,81.0,8
Seaman,DC,1999.0,Simulation,Sega,Vivarium,0,0,0.52,82.0,8.4
The Grinch,PS,1999.0,Adventure,Konami Digital Entertainment,VU Games,0.29,0.2,0,55.0,NaN
Tales of Symphonia,PS3,2013.0,Role-Playing,Namco Bandai Games,Namco Bandai Games,0.21,0.12,0.13,NaN,7.2
Michael Jackson: The Experience,PS3,2011.0,Misc,Ubisoft,Ubisoft Montreal,0.25,0.19,0,66.0,8.4
Tales of Destiny,PS2,2006.0,Role-Playing,Namco Bandai Games,NaN,0,0,0.52,NaN,NaN
Stuntman: Ignition,PS3,2007.0,Racing,THQ,Paradigm Entertainment,0.17,0.26,0,76.0,6.2
Littlest Pet Shop 3: Biggest Stars - Blue / Pi...,DS,2010.0,Simulation,Electronic Arts,NaN,0.49,0,0,NaN,NaN
F.E.A.R. 2: Project Origin,X360,2009.0,Shooter,Warner Bros. Interactive Entertainment,Monolith Productions,0.32,0.15,0,77.0,8
Mystery Dungeon: Shiren the Wanderer,DS,2006.0,Role-Playing,Sega,ChunSoft,0.17,0,0.33,69.0,8.2
GT Pro Series,Wii,2006.0,Racing,Ubisoft,MTO,0.46,0.01,0.02,41.0,4
Tiger Woods PGA Tour 11,X360,2010.0,Sports,Electronic Arts,EA Sports,0.28,0.19,0,79.0,7.8
The Golden Compass,PS2,2007.0,Action,Sega,Shiny Entertainment,0.13,0,0,46.0,5.2
Final Fantasy Chronicles,PS,2001.0,Role-Playing,Square,TOSE,0.29,0.2,0,89.0,9.1
F1 2009,PSP,2009.0,Racing,Codemasters,Sumo Digital,0.08,0.29,0,68.0,7.2
Syphon Filter 3,PS,2001.0,Shooter,Sony Computer Entertainment,Sony Bend,0.29,0.2,0,73.0,8.5
Metal Gear Solid 2: Substance,PS2,2002.0,Action,Konami Digital Entertainment,KCEJ,0.18,0.14,0.16,87.0,9
Tales of Symphonia: Dawn of the New World,Wii,2008.0,Role-Playing,Namco Bandai Games,Bandai Namco Games,0.21,0.04,0.24,68.0,7.1
NBA Live 08,X360,2007.0,Sports,Electronic Arts,EA Canada,0.47,0,0,73.0,5.3
Guinness World Records: The Videogame,DS,2008.0,Action,Warner Bros. Interactive Entertainment,TT Fusion,0.47,0.01,0,70.0,#VALUE!
We Love Katamari,PS2,2005.0,Puzzle,Electronic Arts,Namco,0.26,0.2,0,86.0,8.9
